sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
2,462,16464,17928,17217,13837,13608,18198,22113,20980,15431,11623,9934,8398,6714,4148,2252,1868,1455,969
0,4,5758824,5481728,5282987,4834234,4174223,3394844,2678327,2192878,1795549,1415929,1108897,866412,656869,473336,328293,189913,83925,37217
1,4,2949516,2810043,2700799,2479531,2143860,1748484,1397506,1142341,935238,737271,569185,440421,328252,230616,150275,84339,37490,15375
2,4,2809308,2671685,2582188,2354703,2030363,1646360,1280821,1050537,860311,678658,539712,425991,328617,242720,178018,105574,46435,21842
0,50,14159098,14486862,14821946,15316095,15342508,14732499,13973037,13106590,11782277,9964282,8606188,7254017,5182223,3151100,2288356,1807307,1109898,801397
1,50,7234372,7397330,7574296,7832494,7802189,7396423,6908734,6440250,5813658,4955988,4369541,3743696,2705421,1670486,1182380,888361,525290,348073
2,50,6924726,7089532,7247650,7483601,7540319,7336076,7064303,6666340,5968619,5008294,4236647,3510321,2476802,1480614,1105976,918946,584608,453324
0,524,2716798,2720838,2847385,3064799,3238743,2945998,2356897,1904860,1695322,1547249,1355557,1131315,888843,697299,506250,344578,181837,81013
1,524,1395835,1373827,1428528,1535162,1572694,1330625,968386,722259,651435,657259,623384,531929,415594,327914,230000,151270,81887,34515
2,524,1320963,1347011,1418857,1529637,1666049,1615373,1388511,1182601,1043887,889990,732173,599386,473249,369385,276250,193308,99950,46498
0,586,28412658,26380484,24134280,22400455,21136424,19765015,17735073,15017542,12412383,10245134,8614516,7270204,5727315,3979037,2755696,1911362,1050423,540995
1,586,14736841,13688060,12504516,11648894,10968701,10156707,9065228,7663767,6325880,5214755,4371315,3674636,2889027,1998160,1386755,966572,536526,290198
2,586,13675817,12692424,11629764,10751561,10167723,9608308,8669845,7353775,6086503,5030379,4243201,3595568,2838288,1980877,1368941,944790,513897,250797
0,64,64391,61782,64122,68014,72317,77829,77971,67998,54633,42589,35073,27905,22247,16974,12890,9924,6270,5015
1,64,32735,31405,32564,34876,38492,42963,42751,36933,30182,23440,18905,14853,11681,9079,7183,5558,3449,2569
2,64,31656,30377,31558,33138,33825,34866,35220,31065,24451,19149,16168,13052,10566,7895,5707,4366,2821,2446
0,762,1350240,1296050,1072476,848777,809586,817569,805392,677285,511401,424975,381046,341661,273289,170690,89642,43779,26131,17479
1,762,694640,665269,550853,435362,413188,414913,402286,337078,254593,208151,184275,163893,130315,79834,40689,20282,11650,7157
2,762,655600,630781,521623,413415,396398,402656,403106,340207,256808,216824,196771,177768,142974,90856,48953,23497,14481,10322
0,795,621733,695846,582018,492332,458461,514367,546515,467550,395654,338366,291263,258965,215237,151681,83877,38510,27419,22153
1,795,315564,352844,294793,248998,231644,259242,273481,231131,194166,164345,141165,119160,94051,63966,34454,15939,10372,7313
2,795,306169,343002,287225,243334,226817,255125,273034,236419,201488,174021,150098,139805,121186,87715,49423,22571,17047,14840
0,860,3361380,3374893,3086469,2634783,2621211,3039845,3135558,2744223,2250667,1912613,1629855,1503748,1274192,883227,447279,216716,155532,109886
1,860,1732504,1733013,1583186,1348585,1336763,1552774,1586010,1366688,1111225,935313,782574,704840,589855,404558,196590,90834,63111,38355
2,860,1628876,1641880,1503283,1286198,1284448,1487071,1549548,1377535,1139442,977300,847281,798908,684337,478669,250689,125882,92421,71531
0,921,186093499,182109504,185559450,185417903,180023630,173706325,166781447,155116674,136093860,116998549,101227839,86743253,70902842,54295870,36455047,22215969,12699441,7947737
1,921,96866633,94827855,96694060,97046542,94306902,90563616,86267177,79732368,69588164,59527023,51374813,43839621,35612314,27077771,17745781,10464558,5833897,3546452
2,921,89226866,87281649,88865390,88371361,85716728,83142709,80514270,75384306,66505696,57471526,49853026,42903632,35290528,27218099,18709266,11751411,6865544,4401285
0,268,251965,284625,268640,225239,218499,249674,281317,280164,265302,255137,240790,261709,256778,217773,163067,100859,82393,64797
1,268,129739,147059,140553,119139,115961,128306,140265,138030,129001,122859,113401,118915,112888,90558,63155,35954,25968,18501
2,268,122226,137566,128087,106100,102538,121368,141052,142134,136301,132278,127389,142794,143890,127215,99912,64905,56425,46296
0,275,695316,687206,626454,540428,501753,485647,409852,319386,263465,217009,177890,143450,100863,68379,50508,32596,16845,8498
1,275,355824,351385,320131,275151,254641,246971,208604,162387,133895,109780,89269,71173,49268,32083,24254,15397,7161,3289
2,275,339492,335821,306323,265277,247112,238676,201248,156999,129570,107229,88621,72277,51595,36296,26254,17199,9684,5209
0,31,757569,881014,766275,643756,669873,825459,941623,885052,719393,620576,611639,646277,556406,363994,189162,91680,73871,56577
1,31,398087,469608,410571,345323,355799,423951,468372,439794,357565,300814,289632,303613,258299,164313,81245,36930,27278,18943
2,31,359482,411406,355704,298433,314074,401508,473251,445258,361828,319762,322007,342664,298107,199681,107917,54750,46593,37634
0,368,5404836,5368478,4829323,4292701,3953630,3551077,3107064,2643433,2268033,1919809,1556442,1088234,711964,618017,409377,230132,140004,72409
1,368,2781027,2759268,2479993,2201610,2020959,1812503,1584505,1347166,1151741,962946,760556,511260,323906,277592,185272,102598,58254,26659
2,368,2623809,2609210,2349330,2091091,1932671,1738574,1522559,1296267,1116292,956863,795886,576974,388058,340425,224105,127534,81750,45750
0,376,844054,843994,775096,694482,645074,594132,568045,562473,552714,520278,446356,388483,353433,348987,313868,202743,124170,144511
1,376,432479,433172,398069,356477,330877,304430,288545,282218,275216,258022,220190,189534,168831,163277,145667,92503,52936,54927
2,376,411575,410822,377027,338005,314197,289702,279500,280255,277498,262256,226166,198949,184602,185710,168201,110240,71234,89584
0,400,1011661,1096283,1129926,1056770,950417,867873,788727,724859,634008,550169,464122,355232,245163,160954,113065,80068,46573,24992
1,400,519234,560818,573907,534252,479901,437965,398568,368332,324510,284182,240644,180393,120032,77445,52912,35913,20738,10432
2,400,492427,535465,556019,522518,470516,429908,390159,356527,309498,265987,223478,174839,125131,83509,60153,44155,25835,14560
0,414,272923,311100,320824,273025,253482,254503,305558,442504,508413,467447,382144,255557,167329,96009,39798,18016,8546,3152
1,414,139869,163912,178150,155843,145182,159205,193962,277581,331189,302625,246586,170211,112678,65064,24680,9862,4969,1696
2,414,133054,147188,142674,117182,108300,95298,111596,164923,177224,164822,135558,85346,54651,30945,15118,8154,3577,1456
0,422,523356,548968,531880,531783,555927,564618,523514,480832,452662,411398,387271,351033,271516,207803,147572,86103,58394,50217
1,422,266164,285908,282230,274362,278302,275524,243778,221689,220067,206051,204388,203513,154707,100244,67592,41406,25545,18486
2,422,257192,263060,249650,257421,277625,289094,279736,259143,232595,205347,182883,147520,116809,107559,79980,44697,32849,31731
0,48,106520,113966,99182,101258,117692,185950,268512,242684,167716,119136,89028,65524,50243,29597,12986,7305,4301,2385
1,48,52627,61008,50254,56001,74024,124794,196009,183642,119439,80185,58371,38929,29828,17956,7373,3835,1994,1039
2,48,53893,52958,48928,45257,43668,61156,72503,59042,48277,38951,30657,26595,20415,11641,5613,3470,2307,1346
0,512,462730,409130,346694,272182,317526,643188,861810,659640,425758,314947,212164,146643,104110,63855,33784,23586,15763,10490
1,512,239816,206153,182180,139891,190323,482239,667384,483887,294137,224066,148193,101031,69786,36192,15035,10356,8128,4430
2,512,222914,202977,164514,132291,127203,160949,194426,175753,131621,90881,63971,45612,34324,27663,18749,13230,7635,6060
0,51,195084,213387,206591,178133,165286,206470,258713,252748,207091,169005,155778,182072,200427,152825,94931,47874,44642,40912
1,51,102214,113023,109955,94957,88299,101643,122259,116808,93946,76355,67791,77050,84592,63358,37744,18149,15573,14019
2,51,92870,100364,96636,83176,76987,104827,136454,135940,113145,92650,87987,105022,115835,89467,57187,29725,29069,26893
0,634,135269,139597,129580,130191,237045,433126,494035,385738,267205,209088,171518,118612,67239,34595,16661,5998,2234,2184
1,634,69175,72081,66788,74725,182691,363100,403483,294935,202435,166491,137872,95011,53776,27316,12347,3689,952,1034
2,634,66094,67516,62792,55466,54354,70026,90552,90803,64770,42597,33646,23601,13463,7279,4314,2309,1282,1150
0,682,2904273,3022350,2797863,2379051,2315890,2889394,3393245,3473141,3538156,3106735,2190193,1498554,972170,616410,354908,201203,119237,72140
1,682,1476581,1536906,1421079,1220239,1240525,1611039,1966826,2114471,2230727,2004867,1464206,1021194,646906,369004,187040,100499,57871,32784
2,682,1427692,1485444,1376784,1158812,1075365,1278355,1426419,1358670,1307429,1101868,725987,477360,325264,247406,167868,100704,61366,39356
0,760,2175493,1928172,1804491,1641501,1613394,1636443,1680359,1624576,1337039,1003468,781551,657861,524710,398098,253161,152143,91806,60541
1,760,1110890,984408,918607,835953,820408,830551,848383,807120,653584,487905,379417,317030,251100,186451,117796,67718,38360,24234
2,760,1064603,943764,885884,805548,792986,805892,831976,817456,683455,515563,402134,340831,273610,211647,135365,84425,53446,36307
0,784,492391,523370,488607,463903,766561,1363481,1682268,1371769,916867,698515,519856,379643,245496,93948,35757,24152,9553,5645
1,784,251129,267634,247319,251312,529078,1021945,1235520,962151,653345,532883,392568,281988,187922,68182,22079,17296,6723,3167
2,784,241262,255736,241288,212591,237483,341536,446748,409618,263522,165632,127288,97655,57574,25766,13678,6856,2830,2478
0,792,6409838,6746354,6735561,6730902,6776708,6500966,6336134,6377647,6149163,5636313,4967914,4325183,3659066,2955100,2169475,1468852,926766,690034
1,792,3277514,3449549,3442592,3440712,3456052,3298511,3193891,3192022,3053693,2765070,2417428,2082178,1700924,1309729,937882,615790,371265,226421
2,792,3132324,3296805,3292969,3290190,3320656,3202455,3142243,3185625,3095470,2871243,2550486,2243005,1958142,1645371,1231593,853062,555501,463613
0,887,4137446,4012825,3691355,3314200,2991800,2856814,2530219,1998079,1517142,1115856,832086,675883,542956,395075,271615,159600,74818,37097
1,887,2111146,2046501,1880827,1684418,1515412,1443781,1275827,1001800,767184,571434,403890,308975,253842,186094,123678,70547,31327,14212
2,887,2026300,1966324,1810528,1629782,1476388,1413033,1254392,996279,749958,544422,428196,366908,289114,208981,147937,89053,43491,22885
0,922,26843288,27198421,25617416,23543578,23137705,24204541,24527571,22818795,20280268,17417825,14264140,11613624,9097603,6879634,4717613,2968501,1863777,1365667
1,922,13745737,13943165,13138742,12098962,12124699,13117033,13486533,12441218,11035499,9497139,7672078,6108586,4612464,3262981,2128542,1294634,765328,481174
2,922,13097551,13255256,12478674,11444616,11013006,11087508,11041038,10377577,9244769,7920686,6592062,5505038,4485139,3616653,2589071,1673867,1098449,884493
0,100,310384,321522,364020,338660,291319,344697,452213,475184,508647,533403,487793,457327,453273,440626,419135,311141,189040,146207
1,100,159499,165254,187002,174673,150931,178454,232992,246605,262736,273338,246752,225532,214457,195689,172826,119766,67152,49047
2,100,150885,156268,177018,163987,140388,166243,219221,228579,245911,260065,241041,231795,238816,244937,246309,191375,121888,97160
0,112,510846,602767,532440,458117,411680,550425,777331,765977,667093,638083,582229,684237,691786,605553,356970,218482,207849,170939
1,112,257885,309404,273890,235087,211625,281630,397926,388341,330524,306189,271207,310944,299934,237259,131212,66352,51819,33781
2,112,252961,293363,258550,223030,200055,268795,379405,377636,336569,331894,311022,373293,391852,368294,225758,152130,156030,137158
0,203,561681,550823,576793,529812,464360,572502,699721,733872,873349,916069,752176,653974,630030,649173,626242,465360,262154,218691
1,203,288581,283004,296027,271426,237513,291923,357908,377652,448503,468798,383266,328635,308391,304367,278604,194401,100438,70290
2,203,273100,267819,280766,258386,226847,280579,341813,356220,424846,447271,368910,325339,321639,344806,347638,270959,161716,148401
0,348,468639,444997,470508,487550,495947,596495,627195,612669,753819,805018,691679,560382,575939,654247,527667,372879,253108,207514
1,348,240968,228280,240936,250208,254477,304878,320809,310347,378557,403843,341439,268296,262081,282424,214131,137389,81747,55323
2,348,227671,216717,229572,237342,241470,291617,306386,302322,375262,401175,350240,292086,313858,371823,313536,235490,171361,152191
0,498,193035,216870,221359,204265,217579,288943,394767,387229,318550,273466,232722,260820,262579,235936,140197,72422,53160,39279
1,498,98737,111864,113826,105402,111594,147038,200187,196457,159143,132795,109725,118077,114249,95772,54226,24846,15595,9847
2,498,94298,105006,107533,98863,105985,141905,194580,190772,159407,140671,122997,142743,148330,140164,85971,47576,37565,29432
0,616,1873491,1873650,1973896,1808559,1812590,2258396,2676028,3072566,3079267,2716494,2311845,2191348,2538201,2536069,2031520,1229493,816178,940188
1,616,961984,960137,1011477,922343,916638,1149362,1384637,1595678,1573825,1363246,1146936,1067220,1196231,1141728,858162,480629,279849,273130
2,616,911507,913513,962419,886216,895952,1109034,1291391,1476888,1505442,1353248,1164909,1124128,1341970,1394341,1173358,748864,536329,667058
0,642,941443,931715,1045716,1026895,986895,1009777,1297473,1245145,1374186,1509437,1539983,1172264,1127877,1254911,1008005,640578,479755,439275
1,642,483465,478816,537225,527389,508749,525756,678257,645915,698677,764341,769750,572464,522664,553760,420195,250002,166705,147876
2,642,457978,452899,508491,499506,478146,484021,619216,599230,675509,745096,770233,599800,605213,701151,587810,390576,313050,291399
0,643,8840129,9524091,8717808,7519166,6568460,7730378,11381994,12407471,10996069,10038204,8580810,9394375,10102963,8837050,6201861,3381068,2913257,2670790
1,643,4537446,4893113,4468578,3843760,3348676,3935702,5728643,6165261,5340806,4791641,4002760,4205381,4276624,3435358,2220029,1057916,756156,589277
2,643,4302683,4630978,4249230,3675406,3219784,3794676,5653351,6242210,5655263,5246563,4578050,5188994,5826339,5401692,3981832,2323152,2157101,2081513
0,703,281468,282720,285087,268656,272493,335253,395643,426066,454566,428228,359085,347131,355930,339764,263107,173368,106348,85280
1,703,144132,144570,145833,137585,139648,171724,201965,218078,233415,218235,179202,168563,167397,152416,110814,65484,35172,24734
2,703,137336,138150,139254,131071,132845,163529,193678,207988,221151,209993,179883,178568,188533,187348,152293,107884,71176,60546
0,804,1952324,2377166,2493563,2122291,2007174,2453167,3290268,3660201,3433145,3142641,2806265,2912961,2926221,2648392,1956275,1203894,1025042,781130
1,804,1003972,1223725,1283326,1093785,1030987,1255068,1674554,1852066,1689801,1507664,1309964,1297746,1234967,1021493,696850,384238,275297,184834
2,804,948352,1153441,1210237,1028506,976187,1198099,1615714,1808135,1743344,1634977,1496301,1615215,1691254,1626899,1259425,819656,749745,596296
0,923,15933440,17126321,16681190,14763971,13528497,16140033,21992633,23786380,22458691,21001043,18344587,18634819,19664799,18201721,13530979,8068685,6305891,5699293
1,923,8176669,8798167,8558120,7561658,6910838,8241535,11177878,11996400,11115987,10230090,8761001,8562858,8596995,7420266,5157049,2781023,1829930,1438139
2,923,7756771,8328154,8123070,7202313,6617659,7898498,10814755,11789980,11342704,10770953,9583586,10071961,11067804,10781455,8373930,5287662,4475961,4261154
0,208,325100,294179,325197,342561,362745,402227,380921,325423,341979,368305,405766,403465,357815,306563,329177,269490,157788,136251
1,208,167018,150770,167148,174748,185125,205263,194045,164201,171167,182978,204316,202290,176563,148614,159454,127126,69123,49945
2,208,158082,143409,158049,167813,177620,196964,186876,161222,170812,185327,201450,201175,181252,157949,169723,142364,88665,86306
0,233,67988,72551,76452,67689,55674,74529,98947,96497,87793,94976,82447,81953,85728,84415,61365,48926,44084,39891
1,233,35374,37173,39278,34879,28291,38944,52464,50234,45189,48548,40972,39127,39235,35211,23897,16737,12924,9628
2,233,32614,35378,37174,32810,27383,35585,46483,46263,42604,46428,41475,42826,46493,49204,37468,32189,31160,30263
0,246,249931,294088,313757,304132,306438,348667,355835,356233,355812,321328,332043,363548,357636,346006,357452,266085,162954,163011
1,246,127953,150544,160511,155770,157397,178606,182837,183434,182347,163991,167205,180917,175453,165986,167167,119810,66914,54483
2,246,121978,143544,153246,148362,149041,170061,172998,172799,173465,157337,164838,182631,182183,180020,190285,146275,96040,108528
0,352,19956,21890,23373,22271,21640,24733,24389,23506,22581,21322,20730,21056,20882,18197,14828,10630,6542,6874
1,352,10317,11098,12008,11365,10976,12708,12451,11987,11422,10777,10368,10340,10332,9096,7456,5147,2986,2733
2,352,9639,10792,11365,10906,10664,12025,11938,11519,11159,10545,10362,10716,10550,9101,7372,5483,3556,4141
0,372,297097,346595,365569,333432,301073,282917,293973,360634,399781,384071,332617,296505,262276,234035,207482,149969,93887,78290
1,372,152838,178239,186935,169881,152530,143747,148080,176441,193957,188813,165317,147148,129126,114560,100771,71671,42803,30786
2,372,144259,168356,178634,163551,148543,139170,145893,184193,205824,195258,167300,149357,133150,119475,106711,78298,51084,47504
0,428,114834,96748,97728,92164,66608,93455,135951,127717,115544,127876,119646,131761,132522,120825,83518,75393,57716,58828
1,428,59649,50412,50543,46902,34260,48460,69601,64941,57470,62084,57064,60484,58304,48537,30683,23616,16842,13225
2,428,55185,46336,47185,45262,32348,44995,66350,62776,58074,65792,62582,71277,74218,72288,52835,51777,40874,45603
0,440,130750,158522,131366,113665,118881,159490,187750,160305,148793,181526,181199,214623,202394,167890,120616,101758,86340,95836
1,440,67167,81864,67286,58597,61017,83035,97848,83079,74943,87982,86449,98364,88719,67568,43973,32304,27853,23553
2,440,63583,76658,64080,55068,57864,76455,89902,77226,73850,93544,94750,116259,113675,100322,76643,69454,58487,72283
0,578,304903,308821,323003,328701,350504,375825,383689,373204,351037,365679,382733,350539,317216,281445,266419,205787,122417,119450
1,578,157202,158667,165844,168113,180434,194473,196589,191954,182096,188883,197226,180195,161083,140623,130765,97878,53868,43079
2,578,147701,150154,157159,160588,170070,181352,187100,181250,168941,176796,185507,170344,156133,140822,135654,107909,68549,76371
0,752,609689,595552,596881,570301,532364,675389,732956,654212,610114,634459,677399,642409,579738,523835,541659,470437,297509,274069
1,752,313811,305582,306519,291747,273287,345777,373259,334097,311511,321777,343370,325496,290843,259357,263515,225231,135340,101925
2,752,295878,289970,290362,278554,259077,329612,359697,320115,298603,312682,334029,316913,288895,264478,278144,245206,162169,172144
0,826,3860024,4095511,4083178,3795837,3937913,4385252,4689844,4692282,4418465,4246996,4495363,4618849,4131447,3448230,3314471,2686833,1782491,1814927
1,826,1976247,2096487,2088000,1937517,2004028,2227842,2363131,2336046,2198642,2109453,2214632,2267681,2027184,1681241,1589594,1257730,794628,705030
2,826,1883777,1999024,1995178,1858320,1933885,2157410,2326713,2356236,2219823,2137543,2280731,2351168,2104263,1766989,1724877,1429103,987863,1109897
0,924,5995880,6300387,6352947,5988152,6072948,6842359,7303531,7188970,6871070,6767811,7053452,7147924,6468005,5548742,5312457,4297339,2819842,2795823
1,924,3075646,3228927,3252553,3058529,3097253,3489148,3700182,3606055,3438333,3375871,3498691,3523708,3166868,2679333,2524845,1982961,1226976,1037473
2,924,2920234,3071460,3100394,2929623,2975695,3353211,3603349,3582915,3432737,3391940,3554761,3624216,3301137,2869409,2787612,2314378,1592866,1758350
0,191,177599,194485,210263,198087,219734,235898,245875,272183,287989,273641,270473,290618,287988,276788,224231,156913,124235,112285
1,191,91194,100495,108114,101706,112801,120727,125026,138222,146290,137843,133966,140948,136666,129094,98812,61850,44265,31514
2,191,86405,93990,102149,96381,106933,115171,120849,133961,141699,135798,136507,149670,151322,147694,125419,95063,79970,80771
0,196,62564,67602,69074,74073,87148,95726,96576,94070,90141,82939,77398,73674,67734,58215,47918,35591,23861,19086
1,196,32222,34772,35537,38597,46265,50575,50352,47185,43825,40604,37676,36588,33179,28123,22791,16192,10286,6901
2,196,30342,32830,33537,35476,40883,45151,46224,46885,46316,42335,39722,37086,34555,30092,25127,19399,13575,12185
0,300,391177,441239,520548,533856,524385,520199,555124,683927,769024,784784,797892,735530,681568,603370,550851,433746,359670,429751
1,300,201631,227785,268601,273923,267086,270271,290058,350564,391263,394590,394796,357051,322931,279042,250883,195647,152829,175459
2,300,189546,213454,251947,259933,257299,249928,265066,333363,377761,390194,403096,378479,358637,324328,299968,238099,206841,254292
0,380,2212123,2554318,2817776,2904575,2942916,3109846,3316451,3520002,3945818,4616233,4920410,4788896,4197533,3588698,3395812,2789879,2217851,2423642
1,380,1138896,1315291,1449182,1494972,1523372,1605717,1687569,1771467,1974351,2297254,2431888,2344031,2025622,1705728,1587856,1261168,930936,833758
2,380,1073227,1239027,1368594,1409603,1419544,1504129,1628882,1748535,1971467,2318979,2488522,2444865,2171911,1882970,1807956,1528711,1286915,1589884
0,470,21628,21735,20900,20330,23253,28521,32394,32938,31858,29644,25727,26432,29594,27944,27666,20489,12016,10961
1,470,11092,11247,10839,10417,11913,14828,16860,17111,16455,15231,13134,13336,14716,13829,13388,9523,5164,3754
2,470,10536,10488,10061,9913,11340,13693,15534,15827,15403,14413,12593,13096,14878,14115,14278,10966,6852,7207
0,499,36953,36537,38534,39053,40049,42300,42228,44617,44102,41585,38286,39998,39943,37464,28049,16639,11987,9627
1,499,19141,18954,20139,20485,20879,22029,21796,22653,22000,20209,18648,19672,19357,17685,12455,6529,4483,3463
2,499,17812,17583,18395,18568,19170,20271,20432,21964,22102,21376,19638,20326,20586,19779,15594,10110,7504,6164
0,620,393291,422223,471788,516020,540194,537643,544013,611279,723432,803680,765215,733936,692267,627856,576116,471860,351554,358201
1,620,202060,217687,241435,264227,272933,266296,266327,297278,349609,386700,365225,345357,321439,286740,256975,201166,139354,120023
2,620,191231,204536,230353,251793,267261,271347,277686,314001,373823,416980,399990,388579,370828,341116,319141,270694,212200,238178
0,688,414085,423693,466339,502712,516620,548897,602966,601632,608023,613771,578581,546455,526490,563042,500302,300472,185199,153738
1,688,213847,219030,241082,259728,266692,282977,310657,306352,304941,304546,284195,264290,248693,256996,220267,125840,71584,55318
2,688,200238,204663,225257,242984,249928,265920,292309,295280,303082,309225,294386,282165,277797,306046,280035,174632,113615,98420
0,705,97159,107361,108141,96676,93726,103159,124408,144554,157200,150896,148184,149664,144752,141722,109991,80217,60829,59392
1,705,49903,55183,55681,49754,48467,52929,64189,75369,82580,79634,76188,75177,72178,69756,52034,34798,23882,17794
2,705,47256,52178,52460,46922,45259,50230,60219,69185,74620,71262,71996,74487,72574,71966,57957,45419,36947,41598
0,70,126027,149870,177816,166170,198572,198237,199624,235923,228541,221592,223794,253309,249128,225195,164872,100195,78865,51583
1,70,64904,77048,91238,84727,102059,101980,102252,120257,115717,112331,111687,121653,118040,105400,73179,40316,29371,18495
2,70,61123,72822,86578,81443,96513,96257,97372,115666,112824,109261,112107,131656,131088,119795,91693,59879,49494,33088
0,724,1947976,2123458,2450430,2358866,2237806,2323231,2484088,2984466,3775276,4020639,3733187,3487990,3118653,2542327,2214271,1899050,1345868,1671565
1,724,1004941,1093503,1265339,1215446,1146701,1187231,1256009,1487246,1898250,2049836,1890929,1728300,1514367,1214307,1028761,846500,562394,579585
2,724,943035,1029955,1185091,1143420,1091105,1136000,1228079,1497220,1877026,1970803,1842258,1759690,1604286,1328020,1185510,1052550,783474,1091980
0,807,107412,115741,112808,116821,125075,143599,159276,164104,158513,147331,143946,139027,129285,118435,88025,56104,34765,21038
1,807,55164,59933,58388,60174,64377,73737,81539,84117,81039,74738,72571,68954,63125,56601,40071,24050,14154,8065
